"user_name","user_birth_date","user_birth_city","seller","seller_address","transaction_amount","transaction_date"
"Tullio Majorana","1991-12-04","Giralba","Toninelli-Foconi Group","Strada Angelina, 79 Piano 1 17022, Borgio (SV)","13,18","2022-10-21"
"Vittorio Gentili","1992-04-27","Sommati","Jacuzzi-Ariosto e figli","Viale Rodolfo, 40 Appartamento 29 87010, Frascineto (CS)","47,84","2022-10-17"
"Luciano Castiglione","1993-06-07","Baricella","Donà, Eco e Gianinazzi SPA","Via Piero, 9 Appartamento 8 95031, Adrano (CT)","228,40","2022-10-28"
"Diana Maffei","1995-12-06","Peschici","Alboni-Boccioni SPA","Stretto Rapisardi, 18 12089, Villanova Mondovi' (CN)","17,83","2022-10-16"
"Mario Acerbi","1987-11-15","Cava D'Aliga","Greggio-Mascagni Group","Rotonda Mauro, 14 Appartamento 64 84052, Ceraso (SA)","239,23","2022-10-24"
"Marta Coppola","1984-03-04","Albese Con Cassano","Chiesa-Piccinni e figli","Borgo Gloria, 4 23871, Lomagna (LC)","74,82","2022-10-14"
"Maria Marazzi","1992-06-18","Melle","Delle, Cesarotti e Papetti s.r.l.","Via Fedele, 164 24049, Verdello (BG)","153,88","2022-10-21"
"Mirko Malatesta","2000-02-10","Santorso","Prada-Meucci e figli","Incrocio Spanevello, 89 Piano 7 00159, Roma (RM)","231,51","2022-10-21"
"Diana Maffei","1995-12-06","Peschici","Sforza-Ferrata SPA","Stretto Cafarchia, 3 Piano 7 30035, Mirano (VE)","236,29","2022-11-07"
"Vittorio Gentili","1992-04-27","Sommati","Aloisio s.r.l.","Vicolo Camilleri, 82 Appartamento 6 23814, Maggio (LC)","83,29","2022-11-02"
"Vittorio Gentili","1992-04-27","Sommati","Tresoldi-Tebaldi e figli","Vicolo Gino, 13 Piano 7 84070, Salento (SA)","220,1","2022-10-15"
"Ugolino Schicchi-Traversa","1995-04-17","Carnello","Manacorda Group","Borgo Catenazzi, 33 Appartamento 65 44037, Jolanda Di Savoia (FE)","67,73","2022-11-01"
"Luciano Castiglione","1993-06-07","Baricella","Malaparte s.r.l.","Stretto Carla, 20 Piano 7 63900, San Marco (FM)","192,83","2022-10-14"
"Diana Maffei","1995-12-06","Peschici","Alboni-Boccioni SPA","Stretto Rapisardi, 18 12089, Villanova Mondovi' (CN)","184,27","2022-10-19"
"Vittorio Gentili","1992-04-27","Sommati","Jacuzzi-Ariosto e figli","Viale Rodolfo, 40 Appartamento 29 87010, Frascineto (CS)","188,8","2022-11-03"
"Diana Maffei","1995-12-06","Peschici","Bataglia SPA","Vicolo Zacco, 15 Piano 1 88824, Belvedere Di Spinello (KR)","51,4","2022-11-08"
"Tullio Majorana","1991-12-04","Giralba","Stoppani Group","Vicolo Pietrangeli, 84 Piano 0 90037, Piana Degli Albanesi (PA)","28,68","2022-10-27"
